name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at
China Basin Park Water Fountain #4,8637574682344270148,drinking_water,0,1,1,0,37.775397,-122.388882,"China Basin st, Mission Bay",San Francisco,CA,94158,,publicly_accessible,,,Daily,In the Toni Stone crossing,port,POINT (-122.388882 37.775397),6,Mission Bay,2024/10/04 01:51:23 PM,2025/03/01 09:05:55 AM
Lower Polk - Myrtle and Larkin streets (JCDecaux),7671891056194831451,restroom,0,0,0,0,37.7855716,-122.4180901,Myrtle and Larkin streets (JCDecaux),San Francisco,CA,,Sgt. John Macaulay Park,publicly_accessible,,,,,pit_stop,POINT (-122.4180901 37.7855716),5,Tenderloin,2025/03/01 09:04:53 AM,2025/03/01 09:05:55 AM
Adam Rodgers Park - Drinking fountain,6195742171510388323,drinking_water,1,0,0,0,37.73083879,-122.38377726,1215 Quesada Ave,San Francisco,CA,94124,Adam Rodgers Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.383777267 37.730838741),10,Bayview Hunters Point,2024/12/12 02:54:39 PM,2025/03/01 09:05:55 AM
Drinking Fountain/Cooler,3012718546509811385,drinking_water,1,1,0,0,37.72220338,-122.41308384999999,,San Francisco,CA,,Louis Sutter Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.41308386 37.722203325),9,McLaren Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Cottage Row Mini Park - Drinking Fountain/Cooler,4156230811836863111,drinking_water,1,0,0,0,37.78641132,-122.43227245,,San Francisco,CA,94115,Cottage Row Mini Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.432272462 37.786411264),5,Pacific Heights,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Drinking Fountain/Cooler,9108482967987892516,drinking_water,1,0,0,0,37.777369549999996,-122.40646207,,San Francisco,CA,,Victoria Manalo Draves Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.406462083 37.777369503),6,South of Market,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Lessing & Sears Mini Park - Drinking Fountain/Cooler,659746649913065072,drinking_water,1,0,0,0,37.70863367,-122.45545231999999,10 Lessing St,San Francisco,CA,94112,Lessing & Sears Mini Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.455452331 37.708633618),11,Outer Mission,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Mission Creek Maintenance Bldg,4876547624839491143,restroom,0,0,0,0,37.77135493025545,-122.39873334886664,290 Channel St,San Francisco,CA,94158,Mission Creek Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.398733349 37.77135493),6,Mission Bay,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Mission Playground - Drinking Fountain/Cooler,5562224045497253564,drinking_water,1,0,0,0,37.75959507,-122.42274035000001,3555 19th St,San Francisco,CA,94110,Mission Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.422740363 37.759595022),9,Mission,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Midtown Terrace Playground - Drinking Fountain/Cooler,1362769676768370106,drinking_water,1,0,0,0,37.751672340000006,-122.45583377,210 Olympia Way,San Francisco,CA,94131,Midtown Terrace Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.455833784 37.751672289),7,Twin Peaks,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Miraloma Playground Clubhouse,7139414283949802640,restroom,0,0,0,0,37.739129517709415,-122.44952483192755,25 Omar Way,San Francisco,CA,94127,Miraloma Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.449524832 37.739129518),7,West of Twin Peaks,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Kimball Children's Play Area Drinking Fountain,9212190466133808116,drinking_water,1,0,0,0,37.783704740000005,-122.4350831,,San Francisco,CA,,Raymond Kimball Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.435083107 37.783704692),5,Western Addition,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
McLaren Redwood Grove Drinking Fountain,4399969836773872047,drinking_water,1,1,0,0,37.72209608,-122.42064774999999,,San Francisco,CA,,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.42064776 37.722096027),9,McLaren Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
J.P. Murphy Playground - Drinking Fountain/Cooler,2433286473376299180,drinking_water,1,0,0,0,37.752094240000005,-122.46505759,1960 9th Ave,San Francisco,CA,94116,J.P. Murphy Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.4650576 37.752094186),7,Inner Sunset,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Margaret S.Hayward Playground - Drinking Fountain/Cooler,6908796306997080587,drinking_water,1,0,0,0,37.78069459,-122.42684636,1016 Laguna St,San Francisco,CA,94102,Margaret S.Hayward PG,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.426846373 37.78069454),5,Western Addition,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Kezar Pavilion,4761528511872076776,restroom,0,0,0,0,37.76745061878301,-122.45405121776848,501 Stanyan St,San Francisco,CA,94117,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.454051218 37.767450619),5,Golden Gate Park,2024/08/21 02:15:01 PM,2025/03/01 09:05:55 AM
Margaret S.Hayward Playground - Drinking Fountain/Cooler,393590892851225671,drinking_water,1,0,0,0,37.78087938,-122.42537902999999,1016 Laguna St,San Francisco,CA,94102,Margaret S.Hayward PG,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.425379042 37.780879324),5,Western Addition,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Balboa Pool,1446985645225844523,restroom,0,0,0,0,37.72640027156061,-122.44323590203872,51 Havelock St,San Francisco,CA,94112,Balboa Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.443235902 37.726400272),11,Outer Mission,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Minnie and Lovie Rec Center - Drinking Fountain/Cooler,2476013206564579208,drinking_water,1,0,0,0,37.71511356,-122.45624226999999,650 Capitol Ave,San Francisco,CA,94112,Minnie and Lovie Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.456242276 37.715113509),11,Oceanview/Merced/Ingleside,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Franklin Square - Drinking Fountain/Cooler,2475771779590483117,drinking_water,1,1,0,0,37.76480722,-122.40910427,2500 17th St,San Francisco,CA,94110,Franklin Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.409104276 37.76480717),9,Mission,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Drinking Fountain/Cooler,2200654980049634876,drinking_water,1,0,0,0,37.7958357,-122.41043562,,San Francisco,CA,,Woh Hei Yuen Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.410435626 37.795835644),3,Chinatown,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Tenderloin Pit Stop - Eddy St. and Larkin St.,3686216189405644604,restroom,0,0,0,0,37.783353,-122.41769,Eddy St. and Larkin St.,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.41769 37.783353),5,Tenderloin,2025/03/01 09:04:53 AM,2025/03/01 09:05:55 AM
Betty Ann Ong Chinese Rec Center - Drinking Fountain/Cooler,7607359615276799515,drinking_water,1,0,0,0,37.79429085,-122.41169429000001,1101 Washington St,San Francisco,CA,94108,Betty Ann Ong Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.411694294 37.794290801),3,Nob Hill,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Goldman Restrooms,5975078172278772254,restroom,0,0,0,0,37.73559816229882,-122.478895784974,2899 19th Ave,San Francisco,CA,94132,Sigmund Stern Recreation Grove,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.478895785 37.735598162),4,Sunset/Parkside,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Drinking Fountain,3815081950366659407,drinking_water,1,0,0,0,37.74789871,-122.49752443,,San Francisco,CA,,West Sunset Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.49752444 37.747898656),4,Sunset/Parkside,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Restrooms,4224576772754543358,restroom,0,0,0,0,37.73712250106413,-122.42058678323947,,San Francisco,CA,94110,Holly Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.420586783 37.737122501),9,Bernal Heights,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Midtown Terrace Clubhouse,2914129059992107756,restroom,0,0,0,0,37.75167265818647,-122.45588190223849,210 Olympia Way,San Francisco,CA,94131,Midtown Terrace Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.455881902 37.751672658),7,Twin Peaks,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Sunset Branch Library,4394614105614042565,drinking_water,1,0,0,0,37.76334875500004,-122.47631075399994,1305 18th Ave,San Francisco,CA,94122,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:10:00-20:00"",""Thursday:10:00-20:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:55""]",library,POINT (-122.476310754 37.763348755),7,Inner Sunset,2025/02/21 01:16:00 PM,2025/03/01 09:05:55 AM
Garfield Path Drinking Fountain,2067076247063779095,drinking_water,1,1,0,0,37.750123800000004,-122.41247425,,San Francisco,CA,,Garfield Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.412474261 37.750123743),9,Mission,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Bernal Heights Rec Center,3195322800649596575,restroom,0,0,0,0,37.738312761309125,-122.41599756145315,500 Moultrie St,San Francisco,CA,94110,Bernal Heights Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.415997561 37.738312761),9,Bernal Heights,2024/08/13 05:17:47 PM,2025/03/01 09:05:55 AM
