name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at
McLaren Park Oxford St Restroom,5813049252582342808,restroom,0,0,0,0,37.722952321382685,-122.41856158698465,,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.418561587 37.722952321),11,McLaren Park,2024/08/21 02:15:01 PM,2025/03/01 09:05:55 AM
Mid-Market Pit Stop - U.N. Plaza (JCDecaux),3807932607898650381,restroom,0,0,0,0,37.7801432,-122.4130822,U.N. Plaza (JCDecaux),San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4130822 37.7801432),5,Tenderloin,2025/03/01 09:04:53 AM,2025/03/01 09:05:55 AM
Corona Heights Park - Drinking Fountain/Cooler,832500137318315438,drinking_water,1,0,0,0,37.765307750000005,-122.44027741000001,122 States St,San Francisco,CA,94114,Corona Heights Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.44027742 37.765307694),8,Castro/Upper Market,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Noe Valley Courts - Drinking Fountain/Cooler,5185613767339241930,drinking_water,1,0,0,0,37.75124303,-122.43900085,780 Douglass St,San Francisco,CA,94114,Noe Valley Courts,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.439000859 37.751242977),8,Noe Valley,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Jerry Garcia Parking Bottle filling station,7130395867181689427,drinking_water,1,1,0,0,37.72092385,-122.4169242,,San Francisco,CA,,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.41692421 37.720923801),9,McLaren Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
East Restroom,2202206770714678822,restroom,0,0,0,0,37.72518013090619,-122.44422317580951,51 Havelock St,San Francisco,CA,94112,Balboa Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.444223176 37.725180131),11,Outer Mission,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Golden Gate Park - Section 1 - Drinking Fountain/Cooler,5648724289261303461,drinking_water,1,0,0,0,37.76624576,-122.45578884999999,501 Stanyan St,San Francisco,CA,94117,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.455788858 37.766245704),5,Golden Gate Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Hamilton Rec Center,8369580577400438332,restroom,0,0,0,0,37.78453259984284,-122.43517781586444,1900 Geary Blvd,San Francisco,CA,94115,Hamilton Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.435177816 37.7845326),5,Japantown,2024/08/13 05:16:30 PM,2025/03/01 09:05:55 AM
Mountain Lake Park - Drinking Fountain/Cooler,4678307295294231026,drinking_water,1,0,0,0,37.78749354,-122.46841839,1 11th Ave,San Francisco,CA,94118,Mountain Lake Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.468418396 37.787493492),1,Inner Richmond,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Main Library,1845349341306362846,drinking_water,1,0,0,0,37.779081776000055,-122.41615205,100 Larkin St,San Francisco,CA,94102,,limited_access,,,Daily,"opening_hours = [""Sunday:12:00-18:00"",""Monday:09:00-18:00"",""Tuesday:09:00-20:00"",""Wednesday:09:00-20:00"",""Thursday:09:00-20:00"",""Friday:12:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:62""]",library,POINT (-122.41615205 37.779081776),5,Tenderloin,2025/02/21 01:16:00 PM,2025/03/01 09:05:55 AM
Horseshoe Pits Restroom,659192472714749454,restroom,0,0,0,0,37.77375254047893,-122.45599542644344,501 Stanyan St,San Francisco,CA,94117,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.455995426 37.77375254),1,Golden Gate Park,2024/08/21 02:15:01 PM,2025/03/01 09:05:55 AM
Excelsior Clubhouse,7624069768620183306,restroom,0,0,0,0,37.720234550340486,-122.43358551158578,579 Madrid St,San Francisco,CA,94112,Excelsior Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.433585512 37.72023455),11,Excelsior,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Camp Mather - Drinking fountain,7681299302405400975,drinking_water,1,0,0,0,37.8829335,-119.85584307,32560 Mather Road,San Francisco,CA,95321,Camp Mather,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-119.855843076 37.882933447),,,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Lake Merced Boathouse,4000040349104825380,restroom,0,0,0,0,37.72560824692619,-122.49952830769824,1 Harding Rd,San Francisco,CA,94132,Lake Merced Park,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.499528308 37.725608247),7,Lakeshore,2024/08/21 02:15:01 PM,2025/03/01 09:05:55 AM
Golden Gate Park - Section 5 - Drinking Fountain/Cooler,4292889287259001803,drinking_water,1,1,0,0,37.77133061999999,-122.49904042,501 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 5,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.499040432 37.771330568),1,Golden Gate Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
"Pier 45, Shed A",6920006118133311026,restroom,0,0,0,0,37.809195,-122.416145,43 The Embarcadero,San Francisco,CA,94107,,limited_access,08:00:00,20:00:00,Daily,Inside Shed A,port,POINT (-122.416145 37.809195),3,North Beach,2024/10/04 01:51:23 PM,2025/03/01 09:05:55 AM
Kezar Turf Drinking fountain,5784826082152239973,drinking_water,1,0,0,0,37.76699475,-122.45742193000001,,San Francisco,CA,,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.457421938 37.766994701),5,Golden Gate Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
3rd and Clement,2353041988599802789,drinking_water,0,1,0,0,37.783196,-122.461368,208 Clement,San Francisco,CA,94118,,publicly_accessible,,,Daily,,puc,POINT (-122.461368 37.783196),1,Inner Richmond,2024/06/27 01:43:12 PM,2025/03/01 09:05:55 AM
Parkside Branch Library,580239198389475256,drinking_water,1,0,0,0,37.74316235800006,-122.47934506399997,1200 Taraval St,San Francisco,CA,94116,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:13:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:11:00-20:00"",""Thursday:10:00-18:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:49""]",library,POINT (-122.479345064 37.743162358),4,Sunset/Parkside,2025/02/21 01:16:00 PM,2025/03/01 09:05:55 AM
Kid Power Park - Drinking Fountain/Cooler,4490862356891797241,drinking_water,1,0,0,0,37.76416762,-122.42024527,45 Hoff Street,San Francisco,CA,94110,Kid Power Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.420245278 37.764167571),9,Mission,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Boat Children's Play Area Restroom,7770145530081648003,restroom,0,0,0,0,37.7644801806687,-122.50495827514384,501 Stanyan St,San Francisco,CA,94121,Golden Gate Park - Section 6,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.504958275 37.764480181),4,Golden Gate Park,2024/08/21 02:15:01 PM,2025/03/01 09:05:55 AM
Drinking Fountain,8991236859993836476,drinking_water,1,1,0,0,37.71242807,-122.48940363,,San Francisco,CA,,Lake Merced Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.489403641 37.712428023),7,Lakeshore,2024/12/04 10:54:12 AM,2025/03/01 09:05:55 AM
Robin Williams Meadow Restroom,1139175886771992270,restroom,0,0,0,0,37.76820061034034,-122.45894632494796,501 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 7,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.458946325 37.76820061),7,Golden Gate Park,2024/08/21 02:15:01 PM,2025/03/01 09:05:55 AM
Drinking Fountain/Cooler,9217149819497391219,drinking_water,1,0,0,0,37.71454851,-122.40582609,,San Francisco,CA,,Visitacion Valley Greenway,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.4058261 37.714548455),10,Visitacion Valley,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Palega Playground - Drinking Fountain/Cooler,6120701658645366153,drinking_water,1,0,0,0,37.72925378,-122.40981943,500 Felton St,San Francisco,CA,94134,Palega Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.409819441 37.729253728),9,Portola,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Restrooms,8500089597454184419,restroom,0,0,0,0,37.79124662417517,-122.43816772732552,2501 Jackson St,San Francisco,CA,94115,Alta Plaza Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.438167727 37.791246624),2,Pacific Heights,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Sunset Rec Center - Drinking Fountain/Cooler,6197377153243867380,drinking_water,1,0,0,0,37.756840159999996,-122.48690400000001,2201 Lawton St,San Francisco,CA,94122,Sunset Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.486904009 37.756840107),4,Sunset/Parkside,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Anza Branch Library,7669133687822072481,drinking_water,1,0,0,0,37.77856950700004,-122.49725809499995,550 37th Ave,San Francisco,CA,94121,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:13:00-20:00"",""Thursday:10:00-18:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:50""]",library,POINT (-122.497258095 37.778569507),1,Outer Richmond,2025/02/21 01:16:00 PM,2025/03/01 09:05:55 AM
Sunnyside Conservatory,3755932850212164196,restroom,0,0,0,0,37.731975489734644,-122.44079024379074,236 Monterey Blvd,San Francisco,CA,94131,Sunnyside Conservatory,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.440790244 37.73197549),7,West of Twin Peaks,2024/08/20 10:36:57 AM,2025/03/01 09:05:55 AM
Union Square - Drinking Fountain/Cooler,2714186578769913329,drinking_water,1,0,0,0,37.78787928,-122.40697734999999,333 Post St,San Francisco,CA,94108,Union Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.406977362 37.787879232),3,Financial District/South Beach,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Rossi Pool,4992873192328291991,restroom,0,0,0,0,37.77906456359353,-122.45837511234984,600 Arguello Blvd,San Francisco,CA,94118,Angelo J. Rossi Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.458375112 37.779064564),1,Lone Mountain/USF,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Camp Mather - Ball field bath house Drinking Fountain,1391828046050193443,drinking_water,1,0,0,0,37.88092731,-119.85141528999999,32560 Mather Road,San Francisco,CA,95321,Camp Mather,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-119.851415301 37.880927262),,,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Glen Canyon Park - Drinking Fountain/Cooler,5285142657961475424,drinking_water,1,0,0,1,37.73655273,-122.44078843000001,70 Elk St,San Francisco,CA,94131,Glen Canyon Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.440788434 37.736552673),8,Glen Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Marina Branch Library,7187167927732756918,drinking_water,1,0,0,0,37.801373632000036,-122.43413566499999,1890 Chestnut St,San Francisco,CA,94123,Moscone Rec Center,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-18:00"",""Wednesday:13:00-20:00"",""Thursday:10:00-20:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:50""]",library,POINT (-122.434135665 37.801373632),2,Marina,2025/02/21 01:16:00 PM,2025/03/01 09:05:55 AM
"Heron's Head Park, Eo Center",3577349118403171998,restroom,0,0,0,0,37.740119,-122.37597,32 Jennings Street,San Francisco,CA,94124,,publicly_accessible,08:00:00,17:30:00,Daily,,port,POINT (-122.37597 37.740119),10,Bayview Hunters Point,2024/10/04 01:51:23 PM,2025/03/01 09:05:55 AM
Drinking Fountain,2678105753102733774,drinking_water,1,0,0,0,37.76845387,-122.45704844999999,,San Francisco,CA,,Golden Gate Park - Section 7,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.457048464 37.768453819),7,Golden Gate Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
James Rolph Jr Clubhouse,8648877855879303740,restroom,0,0,0,0,37.75003212278121,-122.40660090433185,1451 Hampshire St,San Francisco,CA,94110,James Rolph Jr. Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.406600904 37.750032123),9,Mission,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Mission Dolores Park - Drinking Fountain/Cooler,3577872362230082096,drinking_water,1,0,0,0,37.7594717,-122.42710577,646 Dolores St,San Francisco,CA,94114,Mission Dolores Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.427105774 37.759471644),8,Castro/Upper Market,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Portsmouth Square - Drinking Fountain/Cooler,3034380096241212790,drinking_water,1,0,0,0,37.794609220000005,-122.4055779,745 Kearny St,San Francisco,CA,94108,Portsmouth Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.40557791 37.794609168),3,Chinatown,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Buena Vista Park - Drinking Fountain/Cooler,9110820734024268991,drinking_water,1,0,0,0,37.76985328000001,-122.43960652999999,1293 Haight St,San Francisco,CA,94117,Buena Vista Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.439606537 37.769853232),8,Haight Ashbury,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Youngblood Coleman Clubhouse,1204923542090208152,restroom,0,0,0,0,37.73797742460086,-122.38413496380761,1398 Hudson Ave,San Francisco,CA,94124,Youngblood-Coleman Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.384134964 37.737977425),10,Bayview Hunters Point,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Yacht Harbor and Marina Green - Toilet,3334911520292618057,restroom,0,0,0,0,37.806654380000005,-122.44255444999999,1 Marina Green Dr,San Francisco,CA,94123,Yacht Harbor and Marina Green,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.442554463 37.806654329),,Marina,2024/12/04 10:54:12 AM,2025/03/01 09:05:55 AM
Coit Tower,1300996872573206948,restroom,0,0,0,0,37.80244444556374,-122.40586285398844,1 Telegraph Hill Blvd,San Francisco,CA,94133,Telegraph Hill - Pioneer Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.405862854 37.802444446),3,North Beach,2024/08/20 10:36:57 AM,2025/03/01 09:05:55 AM
Willie Woo Woo Wong Playground - Drinking Fountain/Cooler,4719512120181333693,drinking_water,1,0,0,0,37.793623919999995,-122.40706236,850 Sacramento St,San Francisco,CA,94108,Willie Woo Woo Wong Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.407062369 37.793623871),3,Chinatown,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Kezar Turf Drinking fountain,5634927668403505525,drinking_water,1,1,0,0,37.76723487,-122.4551506,,San Francisco,CA,,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.455150612 37.767234818),5,Golden Gate Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Golden Gate Park - Section 6 - Drinking Fountain/Cooler,8316744123133191422,drinking_water,1,1,0,0,37.7671838,-122.50799349,501 Stanyan St,San Francisco,CA,94121,Golden Gate Park - Section 6,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.5079935 37.767183752),4,Golden Gate Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Douglass Playground - Drinking Fountain/Cooler,445055920395407513,drinking_water,1,0,0,0,37.747917900000004,-122.43840181,1098 Douglass St,San Francisco,CA,94131,Douglass Playground,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.438401814 37.747917851),8,Noe Valley,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Camp Mather - Drinking fountain,5264800034032263896,drinking_water,1,0,0,0,37.88344952,-119.85691668,32560 Mather Road,San Francisco,CA,95321,Camp Mather,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-119.856916694 37.883449467),,,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Hilltop Park,5266853380894405697,drinking_water,0,1,1,0,37.73328,-122.38366,45 Progress St,San Francisco,CA,94124,,publicly_accessible,,,Daily,,puc,POINT (-122.38366 37.73328),10,Bayview Hunters Point,2024/06/27 01:43:12 PM,2025/03/01 09:05:55 AM
Bandshell Spreckels Temple of Music,1029444508238884088,restroom,0,0,0,0,37.769805558070935,-122.46865196151226,501 Stanyan St,San Francisco,CA,94118,Golden Gate Park - Section 2,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.468651962 37.769805558),7,Golden Gate Park,2024/08/21 02:15:01 PM,2025/03/01 09:05:55 AM
Portola Library,7171405751874216522,drinking_water,1,0,0,0,37.727114209000035,-122.40636172399996,380 Bacon St,San Francisco,CA,94112,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-18:00"",""Wednesday:12:00-20:00"",""Thursday:10:00-19:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:50""]",library,POINT (-122.406361724 37.727114209),9,Portola,2025/02/21 01:16:00 PM,2025/03/01 09:05:55 AM
Coleridge Mini Park - Drinking Fountain/Cooler,1364794861201751412,drinking_water,1,0,0,0,37.74428399,-122.41949464,90 Coleridge St,San Francisco,CA,94110,Coleridge Mini Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.419494652 37.74428394),9,Bernal Heights,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Sunnyside Conservatory - Drinking Fountain/Cooler,4452349754323437789,drinking_water,1,0,0,0,37.73193828,-122.44074053000001,236 Monterey Blvd,San Francisco,CA,94131,Sunnyside Conservatory,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.440740543 37.731938228),7,West of Twin Peaks,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Golden Gate Park - Section 6 - Drinking Fountain/Cooler,2279428380184152431,drinking_water,1,1,0,0,37.7668042,-122.5081866,Golden Gate Park,San Francisco,CA,94132,Golden Gate Park - Section 6,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.508186612 37.766804143),4,Golden Gate Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
19th & Alabama,2447204787546099701,drinking_water,0,1,1,0,37.760315,-122.412135,3001 19th St,San Francisco,CA,94110,,publicly_accessible,,,Daily,,puc,POINT (-122.412135 37.760315),9,Mission,2024/06/27 01:43:12 PM,2025/03/01 09:05:55 AM
Margaret S. Hayward Clubhouse,9114533137639723370,restroom,0,0,0,0,37.780618140084194,-122.42585416102061,1016 Laguna St,San Francisco,CA,94102,Margaret S.Hayward PG,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.425854161 37.78061814),5,Western Addition,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
Mission Playground - Drinking Fountain/Cooler,6807450615319451858,drinking_water,1,1,0,0,37.759443069999996,-122.42240855,3555 19th St,San Francisco,CA,94110,Mission Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.42240856 37.759443017),9,Mission,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Potrero Branch Library,4782384906586179379,drinking_water,1,0,0,0,37.760135940000055,-122.39766410099998,1616 20th St,San Francisco,CA,94107,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:13:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:13:00-20:00"",""Thursday:10:00-20:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:49""]",library,POINT (-122.397664101 37.76013594),10,Potrero Hill,2025/02/21 01:16:00 PM,2025/03/01 09:05:55 AM
Palega Playground - Drinking Fountain/Cooler,8565560003515972315,drinking_water,1,1,0,0,37.729370370000005,-122.40967733,500 Felton St,San Francisco,CA,94134,Palega Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.409677341 37.729370317),9,Portola,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
P24 - Mariposa Bay Park,368974553398901364,drinking_water,1,1,0,1,37.765245,-122.388254,"Illinois St, Mission Bay",San Francisco,CA,94158,,publicly_accessible,,,Daily,,port,POINT (-122.388254 37.765245),6,Potrero Hill,2024/10/04 01:51:23 PM,2025/03/01 09:05:55 AM
Mission Pit Stop - 344 14th St.,2466058572733021801,restroom,0,0,0,0,37.7682576,-122.4210014,344 14th St.,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4210014 37.7682576),9,Mission,2025/03/01 09:04:53 AM,2025/03/01 09:05:55 AM
John McLaren Park - Drinking Fountain/Cooler,711898152290323530,drinking_water,1,0,0,0,37.72325489,-122.42086562,,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.420865626 37.723254836),11,McLaren Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Gleneagles Golf Course Clubhouse,6584855746954938973,restroom,0,0,0,0,37.71599531472845,-122.42456403444783,,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.424564034 37.715995315),10,McLaren Park,2024/08/21 02:15:01 PM,2025/03/01 09:05:55 AM
Youngblood Colman Park,8953154863104910777,drinking_water,0,1,1,0,37.739575,-122.385795,615 Mendell St,San Francisco,CA,94124,Youngblood-Coleman Playground,publicly_accessible,,,Daily,,puc,POINT (-122.385795 37.739575),10,Bayview Hunters Point,2024/06/27 01:43:12 PM,2025/03/01 09:05:55 AM
Guy Place Mini Park - Drinking Fountain/Cooler,5875877012001183846,drinking_water,1,0,0,0,37.78659464,-122.39431446,4 Guy Pl,San Francisco,CA,94105,Guy Place Mini Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.394314468 37.786594589),6,Financial District/South Beach,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Bernal Heights Branch Library,5507692796941224450,drinking_water,1,0,0,0,37.73885128400008,-122.41610523099996,500 Cortland Ave,San Francisco,CA,94110,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-19:00"",""Wednesday:12:00-20:00"",""Thursday:10:00-18:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:50""]",library,POINT (-122.416105231 37.738851284),9,Bernal Heights,2025/02/21 01:16:00 PM,2025/03/01 09:05:55 AM
Moscone Rec Center,4678029647536132904,restroom,0,0,0,0,37.80148454613275,-122.43318577042552,1800 Chestnut St,San Francisco,CA,94123,Moscone Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.43318577 37.801484546),2,Marina,2024/08/13 05:16:30 PM,2025/03/01 09:05:55 AM
Washington Square - Drinking Fountain/Cooler,6124733483710797113,drinking_water,1,1,0,0,37.80052348,-122.40978817,600 Columbus Ave,San Francisco,CA,94133,Washington Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.409788177 37.800523424),3,North Beach,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Bocce Ball Courts,1839771427095320611,restroom,0,0,0,0,37.71489675900471,-122.43204290963838,799 Moscow St,San Francisco,CA,94134,Crocker Amazon Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.43204291 37.714896759),11,Excelsior,2024/08/20 10:36:57 AM,2025/03/01 09:05:55 AM
Richmond Branch Library,1970251667032378395,drinking_water,1,0,0,0,37.78184424500006,-122.46809920399994,351 09th Ave,San Francisco,CA,94118,10th Ave & Clement Mini Park,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:13:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:10:00-20:00"",""Thursday:10:00-20:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:52""]",library,POINT (-122.468099204 37.781844245),1,Inner Richmond,2025/02/21 01:16:00 PM,2025/03/01 09:05:55 AM
Booker T Washington Community Center,3961536016987241368,drinking_water,0,1,0,0,37.78413,-122.446083,820 Presidio Ave,San Francisco,CA,94115,,publicly_accessible,,,Daily,,puc,POINT (-122.446083 37.78413),5,Presidio Heights,2024/06/27 01:43:12 PM,2025/03/01 09:05:55 AM
Michelangelo Playground - Drinking Fountain/Cooler,2608349350084867732,drinking_water,1,0,0,0,37.80117853,-122.41699363,1055 Greenwich St,San Francisco,CA,94133,Michelangelo Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.416993642 37.801178476),3,Russian Hill,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Upper Noe Rec Center - Drinking Fountain/Cooler,5398316039961782918,drinking_water,1,0,0,0,37.74272967,-122.42702128,295 Day St,San Francisco,CA,94131,Upper Noe Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.427021289 37.742729619),8,Noe Valley,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Eureka Valley Branch Library/ Harvey Milk Memorial Branch Library,8214720885853823779,drinking_water,1,0,0,0,37.76406037000004,-122.43188171699995,1 Jose Sarria Ct,San Francisco,CA,94114,Eureka Valley Branch Library,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:10:00-20:00"",""Thursday:10:00-18:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:53""]",library,POINT (-122.431881717 37.76406037),8,Castro/Upper Market,2025/02/21 01:16:00 PM,2025/03/01 09:05:55 AM
Cow Hollow Clubhouse,268193261574787356,restroom,0,0,0,0,37.79738737216096,-122.44467421677261,1 Miley St,San Francisco,CA,94123,Cow Hollow Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.444674217 37.797387372),2,Marina,2024/08/13 04:58:33 PM,2025/03/01 09:05:55 AM
John McLaren Park - Drinking Fountain/Cooler,2985206971512742309,drinking_water,1,0,0,0,37.71923967,-122.41283289,,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.4128329 37.71923962),9,McLaren Park,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Camp Mather - Drinking fountain,2526183219840087529,drinking_water,1,0,0,0,37.88353679,-119.85689759,32560 Mather Road,San Francisco,CA,95321,Camp Mather,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-119.856897598 37.88353674),,,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
