Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Neighborhoods (old),Zip Codes,Fire Prevention Districts,Police Districts,Supervisor Districts,,FixedLocations
Presidio Middle School,SFUSD,6,8,8-Jun,USD Grades 6-8,PS092,11,13,PS,3.87E+13,"450 30TH AVE, San Francisco, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.780865, -122.489624)",26,55,11,6,2,,"CA (37.780865, -122.489624)"
Bright Horizons - 2Nd St,Private,-2,4,PK-4,Independent / Private,IND217,3,9,IND,384002149,"303 02ND ST STE 250, SAN FRANCISCO, CA 94107",6,6075,SAN FRANCISCO,"CA
(37.785294, -122.395569)",6,"28,856",6,2,9,,"CA (37.785294, -122.395569)"
Buena Vista Child Care,Private,0,5,K-5,Independent / Private,IND223,5,10,IND,384002230,"3351 23RD ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.753567, -122.42028)",19,"28,859",2,4,7,,"CA (37.753567, -122.42028)"
Wu Yee Child Development Center - Generations,Private,-2,-1,PK,Independent / Private,CDC159,3,4,CDC,380505707,"1010 MONTGOMERY ST, SAN FRANCISCO, CA 94133",3,6075,SAN FRANCISCO,"CA
(37.798492, -122.403709)",23,308,3,1,10,,"CA (37.798492, -122.403709)"
Mission Neighborhood Centers - Southeast Families United Childcare,Private,-2,-1,PK,Independent / Private,CDC104,3,4,CDC,384001834,"1337 EVANS AVE, SAN FRANCISCO, CA 94124",10,6075,SAN FRANCISCO,"CA
(37.739754, -122.383591)",1,58,10,3,8,,"CA (37.739754, -122.383591)"
Wu Yee Child Development Center - Hunters Point/Kirkwood,Private,-2,-1,PK,Independent / Private,CDC161,3,4,CDC,384002529,"729 KIRKWOOD AVE, SAN FRANCISCO, CA 94124",10,6075,SAN FRANCISCO,"CA
(37.72887, -122.374405)",1,58,10,3,8,,"CA (37.72887, -122.374405)"
Mission Neighborhood Centers - Mission Bay,Private,-2,-1,PK,Independent / Private,CDC103,3,4,CDC,384001138,"150 BERRY ST, SAN FRANCISCO, CA 94107",6,6075,SAN FRANCISCO,"CA
(37.776493, -122.39299)",20,"28,856",6,2,9,,"CA (37.776493, -122.39299)"
Tenderloin Elementary / Early Education,SFUSD,-2,5,PK-5,"USD PreK-5, Grades K-5",PS115,3,10,PS,3.87E+13,"627 TURK ST, San Francisco, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.781796, -122.419777)",36,"28,852",7,9,9,,"CA (37.781796, -122.419777)"
Bay School Of San Francisco,Private,9,12,12-Sep,Independent / Private,IND214,14,17,IND,3.87E+13,"35 KEYES AVE, SAN FRANCISCO, CA 94129",2,6075,SAN FRANCISCO,"CA
(37.800579, -122.455818)",30,61,11,,1,,"CA (37.800579, -122.455818)"
Lakeside Presbyterian Center For Children,Private,-2,0,PK-K,Independent / Private,IND261,3,5,IND,380500371,"201 EUCALYPTUS DR, SAN FRANCISCO, CA 94132",7,6075,SAN FRANCISCO,"CA
(37.730774, -122.475197)",14,64,1,8,4,,"CA (37.730774, -122.475197)"
