resource_type,latitude,longitude,UTM_Easting,UTM_Northing
restroom,37.806654380000005,-122.44255445,549070.6409274585,4184509.6068606903
restroom,37.80244444556374,-122.40586285398844,552303.5144024893,4184062.4129991224
drinking_water,37.79362392,-122.40706236,552204.1249024754,4183083.107334951
drinking_water,37.76723487,-122.4551506,547987.3066571377,4180129.5007297616
drinking_water,37.7671838,-122.50799349,543333.1980031391,4180098.042205164
drinking_water,37.7479179,-122.43840181,549475.3222140567,4177995.0289724036
drinking_water,37.88344952,-119.85691668,776424.8860514844,4197542.021457207
drinking_water,37.73328,-122.38366,554308.6702967946,4176401.3213451887
restroom,37.769805558070935,-122.46865196151226,546796.5530180737,4180407.875748574
drinking_water,37.72711420900004,-122.40636172399996,552312.631607415,4175704.3092248836
drinking_water,37.74428399,-122.41949464,551143.5090140734,4177602.0148574524
drinking_water,37.73193828,-122.44074053,549279.8780035512,4176220.8802574393
drinking_water,37.7668042,-122.5081866,543316.4112584175,4180055.836641541
drinking_water,37.760315,-122.412135,551780.7382138553,4179384.684419139
restroom,37.780618140084194,-122.4258541610206,550558.4807454413,4181629.79633568
drinking_water,37.75944307,-122.42240855,550876.4055473097,4179282.3085710383
drinking_water,37.760135940000055,-122.39766410099998,553055.5137305643,4179372.925245422
drinking_water,37.729370370000005,-122.40967733,552018.8727094344,4175952.7794815516
drinking_water,37.765245,-122.388254,553880.6844733566,4179945.1491459417
restroom,37.7682576,-122.4210014,550994.301139465,4180261.0383589747
drinking_water,37.72325489,-122.42086562,551037.1554264679,4175268.1198041607
restroom,37.71599531472845,-122.42456403444784,550716.1729980239,4174460.6736389757
drinking_water,37.739575,-122.385795,554115.9609329954,4177098.507113275
drinking_water,37.78659464,-122.39431446,553331.5533099724,4182310.4057957586
drinking_water,37.73885128400008,-122.41610523099996,551445.8843228455,4177001.120925615
restroom,37.80148454613275,-122.43318577042552,549898.8291157562,4183940.9752264405
drinking_water,37.80052348,-122.40978817,551959.3007648926,4183847.0930519407
restroom,37.71489675900471,-122.43204290963838,550057.7543183361,4174334.767339892
drinking_water,37.78184424500006,-122.46809920399994,546837.63954501,4181743.8332670834
drinking_water,37.78413,-122.446083,548774.8352838596,4182008.691125461
drinking_water,37.80117853,-122.41699363,551324.5092474258,4183915.7899665297
drinking_water,37.74272967,-122.42702128,550481.4492883492,4177425.479039322
drinking_water,37.76406037000004,-122.43188171699995,550038.8560273382,4179789.484256775
restroom,37.79738737216096,-122.4446742167726,548890.1495743422,4183480.324819899
drinking_water,37.71923967,-122.41283289,551747.8522601157,4174827.046507263
drinking_water,37.88353679,-119.85689759,776426.2387611959,4197551.764291274
drinking_water,37.770220300000005,-122.45937143,547613.6423236525,4180458.5742821544
restroom,37.73620116438634,-122.4782232264926,545974.3812882032,4176674.771058711
drinking_water,37.76005676966667,-122.5096440635718,543191.968231812,4179306.544606412
drinking_water,37.79129,-122.399052,552911.0534810434,4182828.6627160823
drinking_water,37.713791050000005,-122.42993905,550243.9293836533,4174213.2175972285
drinking_water,37.77094118,-122.4990186,544121.4288611545,4180519.1141992304
restroom,37.7832058,-122.4108252,551880.1128813118,4181925.1270994237
restroom,37.79362870986695,-122.40704782153728,552205.4015561915,4183083.6468872833
drinking_water,37.75767698999999,-122.41509849,551521.5333605817,4179090.3639043705
drinking_water,37.72247859,-122.41423995,551621.5972333587,4175185.6225233427
restroom,37.73959648188863,-122.47617042952425,546153.1489956345,4177052.485900099
restroom,37.78340553001032,-122.4780934534974,545956.6020178408,4181912.0979190096
drinking_water,37.79897,-122.39703,553083.5883861929,4183681.9030172494
drinking_water,37.75081965,-122.49832207,544194.743047135,4178286.986696649
drinking_water,37.80168741,-122.44791246,548602.2390375898,4183955.723631735
drinking_water,37.75145679,-122.43894593,549425.0323872693,4178387.3766875598
restroom,37.7340389,-122.3908134,553677.7959992839,4176481.3945983
restroom,37.79542,-122.39363,553385.471307479,4183289.967374095
drinking_water,37.793789,-122.392106,553520.8238225977,4183109.8796714903
drinking_water,37.77958077,-122.47777182,545987.2934174278,4181487.9023131207
out_of_service,37.76302,-122.38734,553962.8041580366,4179698.813938178
drinking_water,37.74195626,-122.46517038,547120.8435188147,4177319.78012671
drinking_water,37.71413776700007,-122.465970826,547067.923697799,4174232.9667676156
drinking_water,37.792078270000005,-122.41238226,551736.8175825048,4182908.6608107844
restroom,37.74066815988966,-122.44236800766512,549130.7000143463,4177188.5912938165
restroom,37.79573314221017,-122.42054753311784,551015.3864185798,4183309.6804592144
drinking_water,37.7381107,-122.38409678,554266.6569618882,4176937.0279854247
drinking_water,37.75910877,-122.40447578,552456.2409310229,4179255.120887759
drinking_water,37.75145352,-122.4389456,549425.0636333863,4178387.0140595115
drinking_water,37.74160522659025,-122.50724371148618,543414.1787274313,4177260.4860706283
drinking_water,37.76752894,-122.45629948,547885.9292983916,4180161.538762553
drinking_water,37.74173876,-122.46518013,547120.1223753782,4177295.6439359765
drinking_water,37.76379718,-122.41555594,551476.9964984957,4179769.141167876
drinking_water,37.70975597,-122.44678565,548761.7390320704,4173756.629926487
drinking_water,37.77571849,-122.43461824,549790.0081057136,4181081.4819444898
restroom,37.73406849241061,-122.42170662551818,550955.6296386482,4176467.413488175
drinking_water,37.76750663,-122.45566955,547941.4246348457,4180159.38613482
restroom,37.7797652,-122.4136255,551635.9222818202,4181541.84466669
drinking_water,37.77082798,-122.50299987,543770.8629392657,4180504.6843547467
drinking_water,37.72008421,-122.43381224,549898.3309568359,4174909.361070634
restroom,37.79171974893089,-122.40509211818922,552378.9371586774,4182872.9421760924
restroom,37.76990547142128,-122.45428183846612,548062.0943905906,4180426.2472266685
restroom,37.80259938123957,-122.40605250572062,552286.7094635428,4184079.4969836026
restroom,37.80215891886645,-122.448793308729,548524.3856894448,4184007.5797314406
drinking_water,37.77212148,-122.44773409,548637.3158323506,4180675.4957164205
restroom,37.75822049006592,-122.4127976783385,551723.8256178518,4179151.934086267
drinking_water,37.76807818,-122.45792483,547742.4238801377,4180221.6455995184
restroom,37.8087256,-122.4155803,551443.6961420645,4184753.9131418946
restroom,37.802780865258775,-122.41222087359928,551743.560913695,4184096.2000487144
restroom,37.71413459070176,-122.42329114112184,550829.6318883527,4174254.9198592715
drinking_water,37.803614810000006,-122.42127041,550946.3294867744,4184183.7550261966
restroom,37.76689068128529,-122.50766568323402,543362.2407336234,4180065.672958438
drinking_water,37.77536972800005,-122.393097384,553446.8019552567,4181065.7022018326
drinking_water,37.76998547,-122.45421166,548068.2233576953,4180435.159049319
drinking_water,37.796788830000025,-122.429023471,550268.4374994258,4183422.217163657
drinking_water,37.72713052100005,-122.43331540999998,549937.3860236928,4175691.401679074
drinking_water,37.71272269,-122.42731924,550475.5604250021,4174096.0937459213
restroom,37.7649465,-122.4200173,551083.2523616757,4179894.211705543
restroom,37.74997657488508,-122.41197072408411,551802.4163808632,4178237.738156273
drinking_water,37.74424931,-122.44036074,549305.178062609,4177586.9701903313
restroom,37.78532679622686,-122.4779616206248,545967.0206774821,4182125.325593955
restroom,37.7521752,-122.4185771,551218.9073018119,4178478.036644103
drinking_water,37.76453537,-122.50499564,543598.7883966482,4179805.5952304564
drinking_water,37.80227028,-122.40594449,552296.4505049194,4184043.0436804458
drinking_water,37.75022804200006,-122.43509024199994,549765.5178885608,4178253.0920520206
drinking_water,37.783709050000006,-122.4354035,549715.5019436175,4181967.6110249194
drinking_water,37.7139251,-122.41632703,551443.5808961091,4174235.479564094
drinking_water,37.88092335,-119.85138187,776921.2483418313,4197278.070563681
restroom,37.76726784026848,-122.50798559173631,543333.8446026841,4180107.37002337
restroom,37.77260711019376,-122.46078915491172,547487.2545598669,4180722.667788379
drinking_water,37.75991581,-122.4362927,549653.1118225416,4179327.299600274
restroom,37.7767602,-122.4060242,552307.4134117067,4181212.6658969377
restroom,37.76888801773871,-122.47084604293474,546603.8917159192,4180304.980274077
restroom,37.749905738380605,-122.412343944662,551769.5865882279,4178229.672400638
restroom,37.76854971802402,-122.45898101337504,547649.098909493,4180273.4237338565
drinking_water,37.79508453,-122.40538465,552350.8064925546,4183246.0997021426
drinking_water,37.7766746,-122.433905,549852.1776176733,4181187.941528143
drinking_water,37.72405708700006,-122.45626482999997,547917.0013424647,4175338.4178878334
drinking_water,37.75633921,-122.39705544,553111.8413814071,4178952.026936289
drinking_water,37.76408455,-122.41599352,551438.2557116295,4179800.783920211
drinking_water,37.765617,-122.412366,551756.6960901911,4179972.808584038
drinking_water,37.71770235,-122.47036815,546678.1158613712,4174626.249081295
restroom,37.74244647159215,-122.42843387178414,550357.1857840875,4177393.297642212
drinking_water,37.77092973,-122.47696558,546063.658625967,4180528.474861227
drinking_water,37.77201687,-122.47114771,546575.3603358353,4180651.972845557
drinking_water,37.7589939,-122.41823058,551244.7297509197,4179234.753667004
drinking_water,37.73663641,-122.44061654,549287.6890580031,4176742.1955292895
restroom,37.79172382012726,-122.42815243343853,550348.5610668036,4182860.725176774
drinking_water,37.77352793,-122.4869876,545179.4319715622,4180811.8542344808
restroom,37.77310559016735,-122.49848816074775,544166.8574261178,4180759.5033338615
drinking_water,37.71509082,-122.45890729,547689.8789336152,4174342.27924183
drinking_water,37.79131424,-122.42861961,550307.7056766305,4182815.0309777604
restroom,37.7168010634532,-122.38835499090985,553906.910925794,4174570.2950163605
restroom,37.754352377295625,-122.41391608902444,551627.9974134301,4178722.153397066
restroom,37.719149523186175,-122.4126962340035,551759.958773363,4174817.1203974863
drinking_water,37.785211870000005,-122.47790052,545972.4719982852,4182112.6046606298
restroom,37.7815472,-122.4092388,552020.9679586599,4181741.987642354
restroom,37.73973959372992,-122.37539271248392,555032.3659501113,4177122.833425098
drinking_water,37.752333,-122.418141,551257.2158479952,4178495.7831540746
drinking_water,37.77799694,-122.45769442,547756.3366549917,4181322.2401450607
restroom,37.7842471,-122.4177342,551271.0123922931,4182036.8481825963
drinking_water,37.76699488,-122.45332846,548147.9474461989,4180103.8103624126
restroom,37.80567366353541,-122.44826248305824,548568.8143902033,4184397.815168973
drinking_water,37.76699119,-122.45332948,548147.8600017101,4180103.4004358063
restroom,37.73247219967324,-122.37603821479244,554980.8663315829,4176316.1457561026
drinking_water,37.78074058,-122.42663066,550490.0194667566,4181642.961453073
restroom,37.777987531028245,-122.45767116556968,547758.390547835,4181321.208102385
restroom,37.77355496507794,-122.4868886187872,545188.1325481992,4180814.901562103
restroom,37.74353236081232,-122.48092128937846,545732.1395599406,4177486.8333422258
drinking_water,37.80261305,-122.41204767,551758.9256783809,4184077.676871421
restroom,37.71408971379147,-122.42331647505156,550827.4296587206,4174249.9271024233
drinking_water,37.79118303,-122.43717433,549554.5790714242,4182795.9047096935
restroom,37.71434069987213,-122.44983895970807,548489.6225611211,4174263.711160683
restroom,37.76059,-122.38563,554115.1920256155,4179430.1951161176
restroom,37.766786536410606,-122.49279315543468,544672.2066295368,4180061.116137409
drinking_water,37.760841940000006,-122.42756989,550420.8221086229,4179434.717712187
restroom,37.76680514804956,-122.4683584852519,546824.291958959,4180075.130399512
drinking_water,37.72594393,-122.49985018,544074.8711520078,4175526.349623627
restroom,37.80914,-122.409882,551945.004603414,4184803.0426520198
restroom,37.72539339194417,-122.39337823570943,553458.0110757097,4175520.720494843
drinking_water,37.76398718,-122.39912815,552923.8105539867,4179799.387744688
restroom,37.71356270169301,-122.43000619846528,550238.1651950955,4174187.846774727
drinking_water,37.735292,-122.376172,554966.9929074146,4176628.9204255473
restroom,37.73806926327971,-122.49828821730264,544205.3082304936,4176872.368614091
restroom,37.749447,-122.4116183,551833.8328496902,4178179.1775834463
restroom,37.729207014099,-122.4097418452673,552013.301872367,4175934.6195537057
drinking_water,37.75812855,-122.41306199,551700.6074581958,4179141.5873493934
drinking_water,37.77712702,-122.40618904,552292.6385442528,4181253.272164467
restroom,37.77051463507628,-122.46947015151656,546724.0471890657,4180486.138084697
drinking_water,37.73918604,-122.3856264,554131.0992133305,4177055.449966155
restroom,37.72617621720311,-122.44515610209348,548894.5794540416,4175579.274246876
restroom,37.794611401480445,-122.40563810471431,552328.825495598,4183193.4643362626
restroom,37.71496823152588,-122.43189818017898,550070.4622743415,4174342.7744431356
restroom,37.75940474502767,-122.42242458308024,550875.019530276,4179278.0477372548
restroom,37.746283168602446,-122.43968177852058,549363.6453005619,4177812.9818579764
drinking_water,37.77273831,-122.45794472,547737.6759559528,4180738.6721765865
restroom,37.7383375782108,-122.48372258791242,545488.5153227587,4176909.115887919
restroom,37.80129138272988,-122.41678430772168,551342.8588093355,4183928.4259035606
drinking_water,37.75154545,-122.46518977,547113.0556742098,4178383.6767706783
restroom,37.76388493563467,-122.39892775694432,552941.5338931786,4179788.157200842
restroom,37.73307159776936,-122.382577828637,554404.179025508,4176378.827723205
drinking_water,37.76735541,-122.5080082,543331.8022851893,4180117.075299952
restroom,37.71630766055233,-122.4574613171202,547816.5404518647,4174478.0224976633
drinking_water,37.76918435,-122.50650309,543463.2940451789,4180320.692125361
drinking_water,37.77023246,-122.4955183,544430.1263347308,4180442.1393504315
restroom,37.79126963424543,-122.45371329325803,548098.3212155714,4182796.8763260623
restroom,37.811076,-122.410559,551884.0565526577,4185017.465713804
drinking_water,37.78891097000008,-122.44485234499996,548880.0515165605,4182539.7792742634
restroom,37.743551594363424,-122.480708410321,545750.8830309382,4177489.071308365
restroom,37.73370386440429,-122.4473554240948,548695.8370321097,4176413.3076105625
restroom,37.71335158908368,-122.41572366681596,551497.1573324449,4174172.18117346
drinking_water,37.73910459,-122.44949347,548503.9196459845,4177011.3994898885
drinking_water,37.72582319,-122.44334099,549054.7669351081,4175541.055884857
restroom,37.782315528202496,-122.4356163934808,549697.6885818187,4181812.8875478944
restroom,37.778694,-122.387639,553925.0835764436,4181437.661578656
restroom,37.7946278,-122.394598,553300.8159148572,4183201.520641975
restroom,37.76959000789354,-122.51011435778472,543145.0045552587,4180364.0275967945
restroom,37.7428,-122.387319,553979.3419969657,4177455.4369963515
drinking_water,37.7803467,-122.3877,553918.5112802151,4181620.9926598826
restroom,37.73226037152034,-122.37577103552854,555004.565974409,4176292.8006421053
drinking_water,37.71245320600008,-122.40788422599996,552188.749115539,4174076.8464796934
drinking_water,37.70959881,-122.44705578,548738.0318198665,4173739.0527641783
drinking_water,37.72214673,-122.42056917,551064.041562119,4175145.3329758667
restroom,37.734686763218136,-122.38948264733972,553794.5861464769,4176554.0380112324
restroom,37.73785746068678,-122.47571156115694,546194.6595207175,4176859.770769212
drinking_water,37.76735,-122.420036,551079.9521058595,4180160.86764253
restroom,37.77590945664165,-122.42765945401244,550402.704904575,4181106.3968341937
drinking_water,37.78697197,-122.46779969,546860.776222816,4182312.900354271
restroom,37.77662044551919,-122.43391065502786,549851.7159798397,4181181.9301163526
drinking_water,37.78433308,-122.41220834,551757.5324895083,4182049.431758905
drinking_water,37.79159628,-122.42817795,550346.4009758317,4182846.5609187754
drinking_water,37.784118524000064,-122.43748930299996,549531.5619481436,4182011.9350358574
restroom,37.73088520798447,-122.3837328418327,554304.0007645363,4176135.5801649084
restroom,37.7627732,-122.4348053,549782.2126317564,4179645.114365403
drinking_water,37.76792764,-122.50184764,543874.0542530142,4180183.434968635
restroom,37.7825365,-122.4157402,551447.779994201,4181848.1532330364
restroom,37.732517086819065,-122.40239900743153,552658.0114587394,4176305.9718312477
drinking_water,37.77074549,-122.49897683,544125.2238597505,4180497.4223280903
drinking_water,37.77055703,-122.48014118,545784.2112954078,4180485.565133054
restroom,37.76079354207481,-122.42768731036251,550410.5122408648,4179429.284740212
restroom,37.80663633684421,-122.44262145562116,549064.7544692946,4184507.5698000244
drinking_water,37.75014599,-122.46853686,546819.079993743,4178226.7288590996
restroom,37.77098213346722,-122.4768771295348,546071.4160007186,4180534.332530187
restroom,37.7694207259486,-122.49309991733551,544643.6047533632,4180353.229841529
drinking_water,37.791240040000005,-122.43819734,549464.4683445741,4182801.6882225904
drinking_water,37.7543903,-122.41381917,551636.508706456,4178726.41435756
drinking_water,37.76742129,-122.50832979,543303.4398997133,4180124.235687888
restroom,37.77044558810346,-122.46944634056555,546726.1876976852,4180478.489290127
restroom,37.7370245859576,-122.44076950422266,549273.9538775644,4176785.1825218806
restroom,37.8004679,-122.4097323,551964.2582634235,4183840.9575197333
restroom,37.76561026794416,-122.43757489547627,549536.3730317276,4179958.414024424
drinking_water,37.77013551800008,-122.45100115999998,548350.8803541659,4180453.4613595027
drinking_water,37.77239136,-122.44766619,548643.1189293155,4180705.473961523
drinking_water,37.76616718,-122.45630313,547886.4859205415,4180010.451074579
drinking_water,37.740119,-122.37597,554981.2216543024,4177164.5888621756
restroom,37.77236703405456,-122.44766297493844,548643.4180138849,4180702.7766923034
drinking_water,37.73711526,-122.42056082,551054.4994870414,4176806.0721242973
drinking_water,37.78685506,-122.47042906,546629.3293289051,4182298.6148182815
restroom,37.72466408783124,-122.49365476427316,544621.6032931624,4175387.2880096687
drinking_water,37.78266867,-122.41594618,551429.5504051293,4181862.7041167007
drinking_water,37.76724865,-122.45680306,547841.7571855211,4180130.1832243353
restroom,37.722389879019694,-122.41438687566156,551608.7104717586,4175175.699204893
drinking_water,37.79429125,-122.41169415,551795.8577828901,4183154.571147298
restroom,37.75856332910622,-122.42641901416428,550523.7442930064,4179182.529086996
drinking_water,37.734648,-122.390524,553702.8564402446,4176549.13939665
drinking_water,37.71440079,-122.42886246,550338.4059518761,4174281.4451615014
drinking_water,37.72579634,-122.39330733,553463.9699711797,4175565.4674500637
drinking_water,37.77916559,-122.41722141,551319.6795692118,4181473.3389836205
drinking_water,37.76609581,-122.50844351,543294.1967722025,4179977.122767865
restroom,37.71521921017252,-122.43182548843647,550076.7001929737,4174370.6589071304
restroom,37.79566305898598,-122.41036014811358,551912.3476076797,4183307.512826832
drinking_water,37.75196896600005,-122.41982646399998,551108.9888033131,4178454.4721365585
drinking_water,37.73294746,-122.42105235,551014.0499985584,4176343.3929699934
drinking_water,37.77269581,-122.4552027,547979.1892233599,4180735.35981994
restroom,37.76025855824598,-122.43646112984024,549638.0468281462,4179365.2377700526
drinking_water,37.742691,-122.387441,553968.6724113572,4177443.27322244
drinking_water,37.77163407,-122.49513618,544462.9408714427,4180597.8279157905
restroom,37.79689,-122.39505,553259.3964082134,4183452.253616537
drinking_water,37.76936533,-122.49313417,544640.6213421265,4180347.067380064
drinking_water,37.79542,-122.39363,553385.471307479,4183289.967374095
restroom,37.776348,-122.388505,553850.5238999592,4181176.875146574
drinking_water,37.72928423,-122.40970257,552016.7088110944,4175943.2083583493
restroom,37.782884097867246,-122.49085411307505,544833.2666157921,4181848.05103921
drinking_water,37.7814174,-122.4020001,552658.4878349096,4181731.637780194
drinking_water,37.72905284,-122.41024195,551969.3402032009,4175917.2364670495
restroom,37.7682426,-122.4534175,548139.296368349,4180242.1977762994
drinking_water,37.77239053,-122.46012938,547545.4987825844,4180698.9735929472
drinking_water,37.74137018500005,-122.46614395199998,547035.4377734021,4177254.2663607034
restroom,37.72515055880462,-122.44552972539844,548862.3281833746,4175465.2842433155
drinking_water,37.78479965,-122.41547704,551469.3835806545,4182099.3932794495
restroom,37.7787317,-122.4169278,551345.8353189516,4181425.3603285216
drinking_water,37.776548,-122.389769,553739.0655172078,4181198.338009474
restroom,37.7675953,-122.5107794,543087.590270231,4180142.410767178
drinking_water,37.7957183,-122.42048043,551021.3044809655,4183308.0703412383
drinking_water,37.776004,-122.388026,553892.9565565184,4181138.984441233
