property_name,longitude,latitude,UTM_Easting,UTM_Northing
Bayview K.C. Jones Playground,-122.39329981,37.72594209,553464.5278900244,4175581.6424845713
Beideman & O'Farrell Mini Park,-122.43861159,37.78240944,549433.8771475931,4181821.7194581474
Bush & Broderick Mini Park,-122.4425508,37.78559708,549084.8932038303,4182173.310912506
Carl Larsen Park,-122.4759929,37.73928981,546168.9812015161,4177018.548713059
Collis P. Huntington Park,-122.4121807,37.79216622,551754.502743815,4182918.5303855636
Diamond & Farnum Open Space,-122.43432662,37.73880732,549840.4476058411,4176986.385059042
Duboce Park,-122.43345618,37.76961523,549896.4465269113,4180404.9496875736
DuPont Tennis Courts,-122.49084631,37.78269292,544834.0692116136,4181826.8437723354
Edgehill Mountain,-122.45978223,37.74203947,547595.5135118659,4177331.73833152
Eureka Valley Rec Center,-122.43648654,37.75977273,549636.1332557914,4179311.322180195
Fairmont Plaza,-122.42912802,37.7385081,550298.6930321049,4176955.967716202
Fillmore & Turk Mini Park,-122.43180917,37.78019554,550034.3714852271,4181579.706430927
Francisco Park,-122.42087848,37.80397142,550980.586757156,4184223.5345270345
Garfield Square,-122.4122493,37.75020974,551777.7125564058,4178263.453386261
George Christopher Playground,-122.44054794,37.74347991,549289.1955279402,4177501.5077561145
Good Prospect Community Garden,-122.42099278,37.740027340000005,551014.4406208135,4177128.92774836
Midtown Terrace Playground,,,,
Merced Heights Playground,-122.47029461,37.71752783,546684.7067349831,4174606.923101733
Minnie and Lovie Ward Rec Center,-122.45758848,37.71576894,547805.6790499407,4174418.1876253374
Miraloma Playground,-122.44931381,37.73864566,548520.0487600575,4176960.5750300772
Mission Dolores Park,-122.42712797,37.75975462,550460.4863055192,4179314.318947479
Mission Playground,-122.42231703,37.75931092,550884.557563901,4179267.696435664
Mission Rec Center,-122.41292683,37.75814215,551712.5037044437,4179143.1709477627
Moscone Rec Center,-122.4331224,37.80213066,549903.9731641228,4184012.6951943706
Mountain Lake Park,-122.4691026,37.78724185,546745.882844425,4182342.191181707
Mt. Davidson Park,-122.45466691,37.73906794,548048.1194104656,4177004.6651202193
Mt. Olympus,-122.44555372,37.76331267,548835.132148574,4179699.3030408565
Noe & Beaver Mini Park,-122.43342899,37.76494425,549901.9799324536,4179886.7233987
Noe Valley Courts,-122.43891427,37.75141364,549427.8501436892,4178382.6059718505
Page & Laguna Mini Park,-122.42526321,37.77347729,550615.3881240818,4180837.8438631003
Page Street Community Garden,-122.4281125,37.77361752,550364.3622535468,4180851.864211825
Palace of Fine Arts,-122.44850174,37.80300818,548549.4976297112,4184101.956346976
